Utilisateur liquidé,Date de la liquidation,SUM of Quantité liquidée
0x4bafa9c6c73400488b38e9174acc05f1cff6f57a Total,,35.62
0x4027b181664768c2b8a9cadafcba589c3103c163,2026-01-12,1.64
,2025-11-29,3.24
,2025-11-06,4.52
,2025-10-04,7.74
,2025-09-16,18.46
0x4027b181664768c2b8a9cadafcba589c3103c163 Total,,35.61
0x9478588678a642171950edd318cee6ea45a92446,2026-01-18,1.67
,2025-12-04,2.27
,2025-10-22,3.88
,2025-07-18,9.09
,2025-06-30,18.07
0x9478588678a642171950edd318cee6ea45a92446 Total,,34.98
0x9b68690b7546f6a09ae086dd43129c503adf0ddb,2025-11-26,3.32
,2025-11-14,4.62
,2025-10-25,7.88
,2025-09-30,18.86
0x9b68690b7546f6a09ae086dd43129c503adf0ddb Total,,34.69
0xfa09ac154d243618db454226635e6286b393da65,2026-01-18,1.68
,2025-12-10,2.29
,2025-11-17,3.85
,2025-10-12,9.29
,2025-09-30,17.57
0xfa09ac154d243618db454226635e6286b393da65 Total,,34.68
0x2b9184d0e49d9a30deeedb2cd884b404e3933dc3,2026-01-25,0.84
,2025-12-17,2.27
,2025-10-15,3.88
,2025-09-17,9.24
,2025-07-18,18.13
0x2b9184d0e49d9a30deeedb2cd884b404e3933dc3 Total,,34.35
0x5f4a6dbf4a2c24e43df995c2b8109a7183dc2efd,2026-01-20,2.83
,2025-10-12,3.90
,2025-07-19,9.12
,2025-06-30,18.13
0x5f4a6dbf4a2c24e43df995c2b8109a7183dc2efd Total,,33.99
0x430d132c15cc6547a3cdd0827a8deeaa091e07db,2026-01-25,1.61
,2025-12-31,3.19
,2025-11-27,4.37
,2025-10-22,7.46
,2025-10-01,16.97
0x430d132c15cc6547a3cdd0827a8deeaa091e07db Total,,33.60
0x1597d948013fc2821aef1aeb642e5734f1636085,2026-01-18,1.85
,2025-12-17,3.47
,2025-11-02,3.90
,2025-09-25,7.62
,2025-08-23,16.50
0x1597d948013fc2821aef1aeb642e5734f1636085 Total,,33.34
0xe3da958c3ee061d77676332bafe82123fe2cc3f1,2026-01-22,1.83
,2025-12-12,2.49
,2025-11-01,4.23
,2025-10-05,7.25
,2025-09-13,17.28
0xe3da958c3ee061d77676332bafe82123fe2cc3f1 Total,,33.09
0x74dc40654921a7824f25e9bdf74425ded4128f81,2026-01-22,1.39
,2025-12-28,3.57
,2025-11-22,4.91
,2025-10-31,8.36
,2025-10-09,14.32
0x74dc40654921a7824f25e9bdf74425ded4128f81 Total,,32.56
0xad7610ffedb23baeeebd40db3099868299607140,2026-01-22,1.52
,2025-12-15,2.06
,2025-10-07,3.53
,2025-10-05,8.47
,2025-09-23,16.88
0xad7610ffedb23baeeebd40db3099868299607140 Total,,32.46
0x01dbf05fb100fd2f0d963eba2cbedf765c7b347e,2025-09-25,6.76
,2025-09-13,8.97
,2025-08-23,16.50
0x01dbf05fb100fd2f0d963eba2cbedf765c7b347e Total,,32.23
0x12189d6b2d994b0f72c480514e1496b850fc8d36,2026-01-12,2.11
,2025-12-07,2.89
,2025-11-21,4.86
,2025-11-13,8.20
,2025-10-23,14.07
0x12189d6b2d994b0f72c480514e1496b850fc8d36 Total,,32.13
0xd5faa492e9d64f31fb513fd85df3038a33e3ac85,2026-01-24,1.32
,2025-12-06,2.92
,2025-10-24,4.08
,2025-10-05,6.99
,2025-09-23,16.71
0xd5faa492e9d64f31fb513fd85df3038a33e3ac85 Total,,32.02
0x6629d51b603c34119991bb12550f87f589532411,2025-03-27,31.77
0x6629d51b603c34119991bb12550f87f589532411 Total,,31.77
0xe4730068f5874d5b0f33c6ecba31f9edb356eef3,2026-01-22,3.06
,2025-11-29,6.00
,2025-11-20,8.33
,2025-11-04,14.17
0xe4730068f5874d5b0f33c6ecba31f9edb356eef3 Total,,31.56
0xfc34bd5dd30830d6fb46e14ced99e8bc0e9bb1ab,2026-01-21,2.59
,2025-12-23,5.12
,2025-11-24,7.05
,2025-07-18,16.49
0xfc34bd5dd30830d6fb46e14ced99e8bc0e9bb1ab Total,,31.24
0x3f05fdf31ce712fd4a4788c6c9d20ea64de68cea,2026-01-11,5.51
,2025-12-16,9.19
,2025-12-10,15.68
0x3f05fdf31ce712fd4a4788c6c9d20ea64de68cea Total,,30.38
0x5c8b70876406ceae7514dca466176e4658262057,2026-01-25,27.49
0x5c8b70876406ceae7514dca466176e4658262057 Total,,27.49
0x0697d20507fd381ea73221d7c01d66733250b220,2026-02-04,1.27
,2025-11-18,9.84
,2025-11-04,13.76
0x0697d20507fd381ea73221d7c01d66733250b220 Total,,24.87
0x9ef9ebcc437d707cd3e8aa2ed28b6abe06152b63,2026-01-12,18.95
0x9ef9ebcc437d707cd3e8aa2ed28b6abe06152b63 Total,,18.95
0x75a5897405746c0c592f9038357ee7c95bc6ae41,2026-01-30,11.00
,2026-01-22,0.03
,2026-01-21,0.00
,2026-01-18,6.94
0x75a5897405746c0c592f9038357ee7c95bc6ae41 Total,,17.97
0x2d44988f48d651ea649df93ea83fffe2e1f777d2,2025-12-30,16.57
0x2d44988f48d651ea649df93ea83fffe2e1f777d2 Total,,16.57
0x020153ef669a1c768f7482b989c1d8902e577c40,2026-01-26,2.89
,2026-01-25,5.77
,2026-01-23,0.01
,2026-01-22,0.74
,2026-01-20,2.04
0x020153ef669a1c768f7482b989c1d8902e577c40 Total,,11.44
0xfc5867e29a4af3b6be6f6613a69f2e56004f1794,2026-01-25,1.91
,2025-11-24,2.59
,2025-10-15,4.43
0xfc5867e29a4af3b6be6f6613a69f2e56004f1794 Total,,8.93
0xe14d5a4561fe658f09a7172bcc8cc49273e559de,2026-01-29,5.50
0xe14d5a4561fe658f09a7172bcc8cc49273e559de Total,,5.50
0x6a1f5f8a01d18dbd86edcb8c1bc758403399d146,2025-11-01,0.02
0x6a1f5f8a01d18dbd86edcb8c1bc758403399d146 Total,,0.02
Grand Total,,"295,520.32"
